Module                  Size  Used by
tcp_diag               12288  0
udp_diag               12288  0
inet_diag              28672  2 tcp_diag,udp_diag
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               110592  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
rfcomm                102400  6
cmac                   12288  2
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 36864  6 algif_hash,algif_skcipher
bnep                   36864  2
qrtr                   57344  2
zram                   49152  1
lz4hc_compress         20480  1 zram
lz4_compress           24576  1 zram
binfmt_misc            28672  1
ip6t_REJECT            12288  1
nf_reject_ipv6         24576  1 ip6t_REJECT
xt_hl                  12288  22
ip6t_rt                16384  3
ipt_REJECT             12288  1
nf_reject_ipv4         16384  1 ipt_REJECT
xt_LOG                 16384  10
nf_log_syslog          24576  10
nft_limit              16384  13
xt_limit               12288  0
xt_addrtype            12288  4
xt_tcpudp              16384  60
xt_conntrack           12288  16
nf_conntrack          204800  1 xt_conntrack
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
nft_compat             20480  117
x_tables               53248  10 xt_conntrack,nft_compat,xt_LOG,xt_tcpudp,xt_addrtype,ip6t_rt,ipt_REJECT,xt_limit,xt_hl,ip6t_REJECT
nf_tables             380928  630 nft_compat,nft_limit
libcrc32c              12288  2 nf_conntrack,nf_tables
nfnetlink              20480  2 nft_compat,nf_tables
nls_ascii              12288  1
nls_cp437              16384  1
vfat                   24576  1
fat                   102400  1 vfat
uinput                 20480  0
i2c_dev                28672  0
amdgpu              14479360  90
amd_atl                57344  1
intel_rapl_msr         20480  0
intel_rapl_common      53248  1 intel_rapl_msr
edac_mce_amd           28672  0
kvm_amd               221184  0
amdxcp                 12288  1 amdgpu
drm_exec               12288  1 amdgpu
snd_hda_codec_realtek   225280  1
gpu_sched              65536  1 amdgpu
kvm                  1396736  1 kvm_amd
drm_buddy              28672  1 amdgpu
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
drm_suballoc_helper    12288  1 amdgpu
snd_hda_scodec_component    20480  1 snd_hda_codec_realtek
drm_display_helper    274432  1 amdgpu
snd_hda_codec_hdmi     98304  1
cec                    69632  1 drm_display_helper
snd_hda_intel          61440  4
btusb                  81920  0
snd_intel_dspcfg       40960  1 snd_hda_intel
rc_core                73728  1 cec
btrtl                  32768  1 btusb
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
btintel                69632  1 btusb
irqbypass              12288  1 kvm
drm_ttm_helper         16384  2 amdgpu
crct10dif_pclmul       12288  1
snd_hda_codec         217088  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
btbcm                  24576  1 btusb
ttm                   106496  2 amdgpu,drm_ttm_helper
ghash_clmulni_intel    16384  0
btmtk                  32768  1 btusb
sha512_ssse3           53248  0
drm_kms_helper        253952  3 drm_display_helper,amdgpu,drm_ttm_helper
sha256_ssse3           32768  0
snd_hda_core          143360  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
bluetooth            1093632  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
sha1_ssse3             32768  0
snd_hwdep              20480  1 snd_hda_codec
aesni_intel           122880  3
drm                   774144  39 gpu_sched,drm_kms_helper,drm_exec,drm_suballoc_helper,drm_display_helper,drm_buddy,amdgpu,drm_ttm_helper,ttm,amdxcp
snd_pcm               188416  5 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_core
gf128mul               16384  1 aesni_intel
crypto_simd            16384  1 aesni_intel
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
joydev                 24576  0
cryptd                 28672  3 crypto_simd,ghash_clmulni_intel
snd                   151552  19 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_timer,snd_pcm
ecdh_generic           16384  1 bluetooth
rapl                   20480  0
rfkill                 40960  2 bluetooth
ccp                   163840  1 kvm_amd
i2c_algo_bit           16384  1 amdgpu
soundcore              16384  1 snd
sg                     45056  0
k10temp                12288  0
efi_pstore             12288  0
wmi_bmof               12288  0
pcspkr                 12288  0
gigabyte_wmi           12288  0
acpi_cpufreq           32768  0
evdev                  28672  29
button                 24576  0
efivarfs               28672  1
ext4                 1146880  1
crc16                  12288  3 bluetooth,amdgpu,ext4
mbcache                16384  1 ext4
jbd2                  200704  1 ext4
crc32c_generic         12288  0
hid_generic            12288  0
usbhid                 77824  0
hid                   262144  2 usbhid,hid_generic
sd_mod                 81920  4
ahci                   49152  4
libahci                61440  1 ahci
xhci_pci               24576  0
xhci_hcd              364544  1 xhci_pci
libata                466944  2 libahci,ahci
r8169                 126976  0
realtek                45056  1
usbcore               409600  5 xhci_hcd,usbhid,btmtk,btusb,xhci_pci
sp5100_tco             20480  0
mdio_devres            12288  1 r8169
scsi_mod              331776  3 sd_mod,libata,sg
watchdog               49152  1 sp5100_tco
libphy                233472  3 r8169,mdio_devres,realtek
crc32_pclmul           12288  0
i2c_piix4              28672  0
crc32c_intel           16384  3
video                  81920  1 amdgpu
i2c_smbus              16384  1 i2c_piix4
usb_common             16384  2 xhci_hcd,usbcore
scsi_common            16384  4 scsi_mod,sd_mod,libata,sg
gpio_amdpt             16384  0
wmi                    28672  3 video,gigabyte_wmi,wmi_bmof
gpio_generic           20480  1 gpio_amdpt
